id,POA_CODE_2016,postcode,region,SSC_CODE_2016,SSC_NAME_2016,state,Dwellings,Population,AREA_SQKM,MB_COUNT,suburb,Town Postcode combo,POA crosses state border,long,lat,regionName,brandName,serviceName
location:6503:cowalla,6503,6503,perth,50345,Cowalla,Western Australia,21,48,110.0147,2,Cowalla,Cowalla 6503,,115.5652893,-31.09855909,Perth,ABC Radio Perth,local_perth
location:2081:cowan,2081,2081,sydney,11097,Cowan,New South Wales,223,647,31.897,19,Cowan,Cowan 2081,,151.1679559,-33.56729059,Sydney,ABC Radio Sydney,local_sydney
location:4025:cowan-cowan,4025,4025,brisbane,30741,Cowan Cowan,Queensland,67,28,0.1958,1,Cowan Cowan,Cowan Cowan 4025,,153.3669726,-27.1251582,Brisbane,ABC Radio Brisbane,local_brisbane
location:5033:cowandilla,5033,5033,adelaide,40315,Cowandilla,South Australia,613,1452,0.5255,20,Cowandilla,Cowandilla 5033,,138.5569185,-34.93247065,Adelaide,ABC Radio Adelaide,local_adelaide
location:3506:cowangie,3506,3506,wimmera,20652,Cowangie,Victoria,21,38,433.4114,2,Cowangie,Cowangie 3506,,141.3652556,-35.18819862,Wimmera ,ABC Wimmera ,local_westernvic
location:6284:cowaramup,6284,6284,southwestwa,50346,Cowaramup,Western Australia,778,1891,95.2917,24,Cowaramup,Cowaramup 6284,,115.0904909,-33.8586502,South West WA ,ABC South West WA ,local_southwestwa
location:6485:cowcowing,6485,6485,wheatbelt,50347,Cowcowing,Western Australia,13,20,235.3152,2,Cowcowing,Cowcowing 6485,,117.4452116,-31.00575041,Mid West & Wheatbelt ,ABC Mid West & Wheatbelt ,local_wheatbelt
location:5602:cowell,5602,5602,northandwest,40316,Cowell,South Australia,645,1122,634.461,32,Cowell,Cowell 5602,,136.8214276,-33.70949938,North and West SA ,ABC North and West SA ,local_northandwest
location:3922:cowes,3922,3922,melbourne,20653,Cowes,Victoria,5009,4833,20.5318,183,Cowes,Cowes 3922,,145.2358062,-38.47119581,Melbourne,ABC Radio Melbourne,local_melbourne
location:5238:cowirra,5238,5238,adelaide,40317,Cowirra,South Australia,105,136,21.7152,3,Cowirra,Cowirra 5238,,139.3323263,-34.92258319,Adelaide,ABC Radio Adelaide,local_adelaide
location:4871:cowley,4871,4871,farnorth,30742,Cowley,Queensland,38,87,14.3256,1,Cowley,Cowley 4871,,146.0540685,-17.6800607,Far North Queensland ,ABC Far North Queensland ,local_farnorth
location:4871:cowley-beach,4871,4871,farnorth,30743,Cowley Beach,Queensland,79,78,56.7865,13,Cowley Beach,Cowley Beach 4871,,146.1689956,-17.67382196,Far North Queensland ,ABC Far North Queensland ,local_farnorth
location:4871:cowley-creek,4871,4871,farnorth,30744,Cowley Creek,Queensland,5,13,7.7404,1,Cowley Creek,Cowley Creek 4871,,146.0335609,-17.69773401,Far North Queensland ,ABC Far North Queensland ,local_farnorth
location:3268:cowleys-creek,3268,3268,southwestvic,20654,Cowleys Creek,Victoria,13,37,15.3523,1,Cowleys Creek,Cowleys Creek 3268,,143.0400062,-38.49918445,South West Victoria ,ABC South West Victoria ,local_southwestvic
location:2460:cowper,2460,2460,northcoast,11098,Cowper,New South Wales,39,90,13.5944,3,Cowper,Cowper 2460,,153.0877136,-29.57740325,North Coast ,ABC North Coast ,local_northcoast
location:2794:cowra,2794,2794,centralwest,11099,Cowra,New South Wales,4702,10101,885.4301,188,Cowra,Cowra 2794,,148.6454224,-33.82945946,Central West,ABC Central West,local_centralwest
location:7321:cowrie-point,7321,7321,northtas,60130,Cowrie Point,Tasmania,15,14,2.7653,2,Cowrie Point,Cowrie Point 7321,,145.3674112,-40.85560152,Northern Tasmania,ABC Northern Tasmania,local_northtas
location:3857:cowwarr,3857,3857,gippsland,20655,Cowwarr,Victoria,151,357,63.4492,6,Cowwarr,Cowwarr 3857,,146.6720866,-38.01376227,Gippsland,ABC Gippsland,local_gippsland
